tag	Case	Number	Gender
.NSM	Nom	Sing	Masc
.NSF	Nom	Sing	Fem
.NSN	Nom	Sing	Neut
.NPM	Nom	Plur	Masc
.NPF	Nom	Plur	Fem
.NPN	Nom	Plur	Neut
.GSM	Gen	Sing	Masc
.GSF	Gen	Sing	Fem
.GSN	Gen	Sing	Neut
.GPM	Gen	Plur	Masc
.GPF	Gen	Plur	Fem
.GPN	Gen	Plur	Neut
.DSM	Dat	Sing	Masc
.DSF	Dat	Sing	Fem
.DSN	Dat	Sing	Neut
.DPM	Dat	Plur	Masc
.DPF	Dat	Plur	Fem
.DPN	Dat	Plur	Neut
.ASM	Acc	Sing	Masc
.ASF	Acc	Sing	Fem
.ASN	Acc	Sing	Neut
.APM	Acc	Plur	Masc
.APF	Acc	Plur	Fem
.APN	Acc	Plur	Neut
.VSM	Voc	Sing	Masc
.VSF	Voc	Sing	Fem
.VSN	Voc	Sing	Neut
.VPM	Voc	Plur	Masc
.VPF	Voc	Plur	Fem
.VPN	Voc	Plur	Neut
