tag	Case	Number	Gender	Person	PronType
.NSM	Nom	Sing	Masc		Dem
.NSM	Nom	Sing	Masc		Rel
.NSM	Nom	Sing	Masc		Int
.NSM	Nom	Sing	Masc		Ind
.NSF	Nom	Sing	Fem		Dem
.NSF	Nom	Sing	Fem		Rel
.NSN	Nom	Sing	Neut		Dem
.NSN	Nom	Sing	Neut		Rel
.NSN	Nom	Sing	Neut		Int
.NSN	Nom	Sing	Neut		Ind
.NPM	Nom	Plur	Masc		Dem
.NPM	Nom	Plur	Masc		Rel
.NPM	Nom	Plur	Masc		Int
.NPM	Nom	Plur	Masc		Ind
.NPF	Nom	Plur	Fem		Dem
.NPF	Nom	Plur	Fem		Rel
.NPN	Nom	Plur	Neut		Dem
.NPN	Nom	Plur	Neut		Rel
.NPN	Nom	Plur	Neut		Int
.NPN	Nom	Plur	Neut		Ind
.NDM	Nom	Dual	Masc		Dem
.NDM	Nom	Dual	Masc		Rel
.NDF	Nom	Dual	Fem		Dem
.NDF	Nom	Dual	Fem		Rel
.NDN	Nom	Dual	Neut		Dem
.NDN	Nom	Dual	Neut		Rel
.GSM	Gen	Sing	Masc		Dem
.GSM	Gen	Sing	Masc		Rel
.GSM	Gen	Sing	Masc		Int
.GSM	Gen	Sing	Masc		Ind
.GSF	Gen	Sing	Fem		Dem
.GSF	Gen	Sing	Fem		Rel
.GSN	Gen	Sing	Neut		Dem
.GSN	Gen	Sing	Neut		Rel
.GSN	Gen	Sing	Neut		Int
.GSN	Gen	Sing	Neut		Ind
.GPM	Gen	Plur	Masc		Dem
.GPM	Gen	Plur	Masc		Rel
.GPM	Gen	Plur	Masc		Int
.GPM	Gen	Plur	Masc		Ind
.GPM	Gen	Plur	Masc		Rcp
.GPF	Gen	Plur	Fem		Dem
.GPF	Gen	Plur	Fem		Rel
.GPF	Gen	Plur	Fem		Rcp
.GPN	Gen	Plur	Neut		Dem
.GPN	Gen	Plur	Neut		Rel
.GPN	Gen	Plur	Neut		Int
.GPN	Gen	Plur	Neut		Ind
.GPN	Gen	Plur	Neut		Rcp
.GDM	Gen	Dual	Masc		Dem
.GDM	Gen	Dual	Masc		Rel
.GDM	Gen	Dual	Masc		Rcp
.GDF	Gen	Dual	Fem		Dem
.GDF	Gen	Dual	Fem		Rel
.GDF	Gen	Dual	Fem		Rcp
.GDN	Gen	Dual	Neut		Dem
.GDN	Gen	Dual	Neut		Rel
.GDN	Gen	Dual	Neut		Rcp
.DSM	Dat	Sing	Masc		Dem
.DSM	Dat	Sing	Masc		Rel
.DSM	Dat	Sing	Masc		Int
.DSM	Dat	Sing	Masc		Ind
.DSF	Dat	Sing	Fem		Dem
.DSF	Dat	Sing	Fem		Rel
.DSN	Dat	Sing	Neut		Dem
.DSN	Dat	Sing	Neut		Rel
.DSN	Dat	Sing	Neut		Int
.DSN	Dat	Sing	Neut		Ind
.DPM	Dat	Plur	Masc		Dem
.DPM	Dat	Plur	Masc		Rel
.DPM	Dat	Plur	Masc		Int
.DPM	Dat	Plur	Masc		Ind
.DPM	Dat	Plur	Masc		Rcp
.DPF	Dat	Plur	Fem		Dem
.DPF	Dat	Plur	Fem		Rel
.DPF	Dat	Plur	Fem		Rcp
.DPN	Dat	Plur	Neut		Dem
.DPN	Dat	Plur	Neut		Rel
.DPN	Dat	Plur	Neut		Int
.DPN	Dat	Plur	Neut		Ind
.DPN	Dat	Plur	Neut		Rcp
.DDM	Dat	Dual	Masc		Dem
.DDM	Dat	Dual	Masc		Rel
.DDM	Dat	Dual	Masc		Rcp
