tag	Tense	VerbForm	Voice	Mood	Person	Number
PAI.1S	Pres	Fin	Act	Ind	1	Sing
PAI.2S	Pres	Fin	Act	Ind	2	Sing
PAI.3S	Pres	Fin	Act	Ind	3	Sing
PAI.1P	Pres	Fin	Act	Ind	1	Plur
PAI.2P	Pres	Fin	Act	Ind	2	Plur
PAI.3P	Pres	Fin	Act	Ind	3	Plur
PAI.2D	Pres	Fin	Act	Ind	2	Dual
PAI.3D	Pres	Fin	Act	Ind	3	Dual
PAS.1S	Pres	Fin	Act	Sub	1	Sing
PAS.2S	Pres	Fin	Act	Sub	2	Sing
PAS.3S	Pres	Fin	Act	Sub	3	Sing
PAS.1P	Pres	Fin	Act	Sub	1	Plur
PAS.2P	Pres	Fin	Act	Sub	2	Plur
PAS.3P	Pres	Fin	Act	Sub	3	Plur
PAO.1S	Pres	Fin	Act	Opt	1	Sing
PAO.2S	Pres	Fin	Act	Opt	2	Sing
PAO.3S	Pres	Fin	Act	Opt	3	Sing
PAO.1P	Pres	Fin	Act	Opt	1	Plur
PAO.2P	Pres	Fin	Act	Opt	2	Plur
PAO.3P	Pres	Fin	Act	Opt	3	Plur
PAD.2S	Pres	Fin	Act	Imp	2	Sing
PAD.2D	Pres	Fin	Act	Imp	2	Dual
PAD.2P	Pres	Fin	Act	Imp	2	Plur
PAN	Pres	Inf	Act
IAI.1S	Imp	Fin	Act	Ind	1	Sing
IAI.2S	Imp	Fin	Act	Ind	2	Sing
IAI.3S	Imp	Fin	Act	Ind	3	Sing
IAI.1P	Imp	Fin	Act	Ind	1	Plur
IAI.2P	Imp	Fin	Act	Ind	2	Plur
IAI.3P	Imp	Fin	Act	Ind	3	Plur
IAI.2D	Imp	Fin	Act	Ind	2	Dual
IAI.3D	Imp	Fin	Act	Ind	3	Dual
AAI.1S	Aor	Fin	Act	Ind	1	Sing
AAI.2S	Aor	Fin	Act	Ind	2	Sing
AAI.3S	Aor	Fin	Act	Ind	3	Sing
AAI.1P	Aor	Fin	Act	Ind	1	Plur
AAI.2P	Aor	Fin	Act	Ind	2	Plur
AAI.3P	Aor	Fin	Act	Ind	3	Plur
AAS.1S	Aor	Fin	Act	Sub	1	Sing
AAS.2S	Aor	Fin	Act	Sub	2	Sing
AAS.3S	Aor	Fin	Act	Sub	3	Sing
AAS.1P	Aor	Fin	Act	Sub	1	Plur
AAS.2P	Aor	Fin	Act	Sub	2	Plur
AAS.3P	Aor	Fin	Act	Sub	3	Plur
AAO.1S	Aor	Fin	Act	Opt	1	Sing
AAO.2S	Aor	Fin	Act	Opt	2	Sing
AAO.3S	Aor	Fin	Act	Opt	3	Sing
AAO.1P	Aor	Fin	Act	Opt	1	Plur
AAO.2P	Aor	Fin	Act	Opt	2	Plur
AAO.3P	Aor	Fin	Act	Opt	3	Plur
AAD.2S	Aor	Fin	Act	Imp	2	Sing
AAD.2P	Aor	Fin	Act	Imp	2	Plur
AAN	Aor	Inf	Act
FAI.1S	Fut	Fin	Act	Ind	1	Sing
FAI.2S	Fut	Fin	Act	Ind	2	Sing
FAI.3S	Fut	Fin	Act	Ind	3	Sing
FAI.1P	Fut	Fin	Act	Ind	1	Plur
FAI.2P	Fut	Fin	Act	Ind	2	Plur
FAI.3P	Fut	Fin	Act	Ind	3	Plur
FAI.2D	Fut	Fin	Act	Ind	2	Dual
FAI.3D	Fut	Fin	Act	Ind	3	Dual
XAI.1S	Perf	Fin	Act	Ind	1	Sing
XAI.2S	Perf	Fin	Act	Ind	2	Sing
XAI.3S	Perf	Fin	Act	Ind	3	Sing
XAI.1P	Perf	Fin	Act	Ind	1	Plur
XAI.2P	Perf	Fin	Act	Ind	2	Plur
XAI.3P	Perf	Fin	Act	Ind	3	Plur
XAI.2D	Perf	Fin	Act	Ind	2	Dual
XAI.3D	Perf	Fin	Act	Ind	3	Dual
PMI.1S	Pres	Fin	Mid	Ind	1	Sing
PMI.2S	Pres	Fin	Mid	Ind	2	Sing
PMI.3S	Pres	Fin	Mid	Ind	3	Sing
PMI.1P	Pres	Fin	Mid	Ind	1	Plur
PMI.2P	Pres	Fin	Mid	Ind	2	Plur
PMI.3P	Pres	Fin	Mid	Ind	3	Plur
PMN	Pres	Inf	Mid
AMI.1S	Aor	Fin	Mid	Ind	1	Sing
AMI.2S	Aor	Fin	Mid	Ind	2	Sing
AMI.3S	Aor	Fin	Mid	Ind	3	Sing
AMI.1P	Aor	Fin	Mid	Ind	1	Plur
AMI.2P	Aor	Fin	Mid	Ind	2	Plur
AMI.3P	Aor	Fin	Mid	Ind	3	Plur
AMD.2S	Aor	Fin	Mid	Imp	2	Sing
AMD.2P	Aor	Fin	Mid	Imp	2	Plur
AMN	Aor	Inf	Mid
PPI.1S	Pres	Fin	Pass	Ind	1	Sing
PPI.2S	Pres	Fin	Pass	Ind	2	Sing
PPI.3S	Pres	Fin	Pass	Ind	3	Sing
PPI.1P	Pres	Fin	Pass	Ind	1	Plur
PPI.2P	Pres	Fin	Pass	Ind	2	Plur
PPI.3P	Pres	Fin	Pass	Ind	3	Plur
API.1S	Aor	Fin	Pass	Ind	1	Sing
API.2S	Aor	Fin	Pass	Ind	2	Sing
API.3S	Aor	Fin	Pass	Ind	3	Sing
API.1P	Aor	Fin	Pass	Ind	1	Plur
API.2P	Aor	Fin	Pass	Ind	2	Plur
API.3P	Aor	Fin	Pass	Ind	3	Plur
